id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width
300,Self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio.jpg,Raphael,1505,tempera,Uffizi Gallery,Uffizi Gallery,Unknown,47.5,33
562,Chandos portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg,John Taylor,1611,oil paint,National Portrait Gallery,National Portrait Gallery,Unknown,55.2,43.8
1053,Several Circles,http://commons.wikimedia.org/wiki/Special:FilePath/Vassily%20Kandinsky%2C%201926%20-%20Several%20Circles%2C%20Gugg%200910%2025.jpg,Wassily Kandinsky,1926,oil paint,Solomon R. Guggenheim Museum,Solomon R. Guggenheim Museum,Unknown,140,140
924,Léal Souvenir,http://commons.wikimedia.org/wiki/Special:FilePath/Eyck%2C%20Jan%20van%20-%20Portrait%20of%20a%20Young%20Man%20%28Tymotheos%29%20-%20National%20Gallery%2C%20London.jpg,Jan van Eyck,1432,oil paint,National Gallery,Room 15,Unknown,34.5,19
1190,Portrait of Jacobus Blauw,http://commons.wikimedia.org/wiki/Special:FilePath/Jacobus%20Blauw%20door%20Jacques-Louis%20David.jpg,Jacques-Louis David,1795,canvas,National Gallery,National Gallery,Unknown,92,73
811,Calumny of Apelles,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20La%20calumnia%20de%20Apeles.jpg,Sandro Botticelli,1497,tempera,Uffizi Gallery,Uffizi Gallery,Unknown,62,91
1289,Portrait of Professor Benjamin H. Rand,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20rand.jpg,Thomas Eakins,1874,oil paint,Crystal Bridges Museum of American Art,Crystal Bridges Museum of American Art,Thomas Jefferson University,60,48
724,Laundry,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Manet%20-%20Laundry%20%28Le%20Linge%29%20-%20BF957%20-%20Barnes%20Foundation.jpg,Édouard Manet,1875,canvas,Barnes Foundation,Barnes Foundation,Unknown,145.4,114.9
1256,Sky Blue,http://commons.wikimedia.org/wiki/Special:FilePath/Wassily%20Kandinsky%20-%20Sky%20Blue%2C%201940.jpg,Wassily Kandinsky,1940,oil paint,National Museum of Modern Art,National Museum of Modern Art,Unknown,100,73
757,Madonna and child,http://commons.wikimedia.org/wiki/Special:FilePath/Gherardo%20starnina%2C%20madonna%20dell%27Umilt%C3%A0.jpg,Gherardo Starnina,1403,gold,Uffizi Gallery,Uffizi Gallery,Unknown,80.5,51
1191,Accent on Pink,http://commons.wikimedia.org/wiki/Special:FilePath/Vassily%20Kandinsky%2C%201926%20-%20Accent%20rose.jpg,Wassily Kandinsky,1926,canvas,National Museum of Modern Art,National Museum of Modern Art,Unknown,100.5,80.5
1207,"At the Moulin Rouge, The Dance",http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20de%20Toulouse-Lautrec%2C%20French%20-%20At%20the%20Moulin%20Rouge-%20The%20Dance%20-%20Google%20Art%20Project.jpg,Henri de Toulouse-Lautrec,1890,canvas,Philadelphia Art Museum,Philadelphia Art Museum,Unknown,115.5,150
1123,Saint Paul,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Vel%C3%A1zquez%20-%20Saint%20Paul%20-%20Google%20Art%20Project.jpg,Diego Velázquez,1618,oil paint,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,99.5,80
829,Trois Baigneuses,http://commons.wikimedia.org/wiki/Special:FilePath/Trois%20Baigneuses%2C%20Paul%20C%C3%A9zanne%2C%201874-75.jpg,Paul Cézanne,1874,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,19,22
1237,Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/Cima%20da%20Conegliano%20004.jpg,Giovanni Battista Cima da Conegliano,1495,oil paint,Hermitage Museum,Hermitage Museum,Italy,136,107
371,The Peasant Wedding,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Peasant%20Wedding%20-%20Google%20Art%20Project.jpg,Pieter Brueghel the Elder,1568,oak panel,Kunsthistorisches Museum,Q820370,Unknown,113,164
